Bo Du Lieu,Co Sac,Khong Sac
No.0,2216.8141592920356,2216.8141592920356
No.1,891.459074733096,891.459074733096
No.2,451.7583408476105,451.7583408476105
No.3,372.49070631970255,372.4907063197026
No.4,301.9891500904159,301.9891500904159
No.5,2216.8141592920356,2216.8141592920356
No.6,2216.8141592920356,2216.8141592920356
No.7,2216.8141592920356,2216.8141592920356
No.8,2216.8141592920356,2216.8141592920356
No.9,2216.8141592920356,2216.8141592920356
No.10,2216.8141592920356,2216.8141592920356
No.11,2216.8141592920356,2216.8141592920356
No.12,2216.8141592920356,2216.8141592920356
No.13,2216.8141592920356,2216.8141592920356
No.14,2216.8141592920356,2216.8141592920356
No.15,2216.8141592920356,2216.8141592920356
No.16,6423.076923076924,6423.076923076923
No.17,10659.574468085106,10659.574468085106
No.19,19269.230769230766,19269.230769230766
No.20,2216.8141592920356,2216.8141592920356
No.21,2216.8141592920356,2216.8141592920356
No.22,2216.8141592920356,2216.8141592920356
No.23,2216.8141592920356,2216.8141592920356
No.24,2216.8141592920356,2216.8141592920356
